feature,importance
rating_mean,0.314588923250816
log_count,0.19228526642565383
year,0.14075945289479624
female_share,0.10227096901004355
young_share,0.10131976433527391
Drama,0.02580970778517305
Comedy,0.019702746027167047
Horror,0.0179230548045457
Documentary,0.015478596204589577
Action,0.011605005939638771
Romance,0.008782538295052787
Thriller,0.008294790429365541
Adventure,0.008043558529687765
Western,0.007627233634015695
Sci-Fi,0.007614190989269872
Mystery,0.004170861257878861
War,0.0033158244874559382
Crime,0.003195355687924412
Children's,0.0028912113693654786
Musical,0.0018833771832101587
